book,[ buk ],书
sandwich,['sændwitʃ],三明治
tomato,[tə'mɑ:təu],西红柿
potato,[pə'teitəu],土豆
carrot,['kærət],胡萝卜
some,[sʌm],一些
Unit 5 My Pet,[ mai ][pet],我的宠物
pet,[pet],宠物
turtle,['tə:tl],乌龟
parrot,['pærət],鹦鹉
dog,[dɔg],狗
cat,[kæt],猫
goldfish,['gəuldfiʃ],金鱼
monkey,['mʌŋki],猴子
rabbit,['ræbit],兔子
chicken,['tʃikin],小鸡
tail,[teil],尾巴
smart,[smɑ:t],聪明的
cute,[kju:t],漂亮的
Catch a mouse,[kætʃ][ei][maus],（猫）捉老鼠
Wag its tail,[wæg][its][teil],（狗）摇尾巴
Unit 6 My Clothes,[ mai ][kləuðz],我的衣服
clothes,[kləuðz],服装
cap,[kæp],帽子
scarf,[skɑ:f],围巾
vest,[vest],背心
gloves,[glʌvz],手套（复数）
jeans,[dʒi:ns],牛仔裤
sneakers,['sni:kəz],运动鞋（复数）
wear,[wɛə],穿
Unit 7 My Birthday,[ mai ]['bə:θdei],我的生日
birthday,['bə:θdei],生日
January,['dʒænjuəri],一月
February,['februəri],二月
March,[mɑ:tʃ],三月
April,['eiprəl],四月
May,[mei],五月
June,[dʒu:n],六月
July,[dʒu(:)'lai],七月
August,['ɔ:gəst],八月
September,[sep'tembə],九月
October,[ɔk'təubə],十月
November,[nəu'vembə],十一月
December,[di'sembə],十二月
Unit 8 Revision,[ ri'viʒən ],复习
what,[(h)wɔt],什么
you,[ju:],你
your,[juə],你的
bike,[baik],自行车
are,[ɑ:],是
tea,[ti:],茶
long,[lɔŋ],长的
small,[smɔ:l],小的
have,[hæv],有
lion,['laiən],狮子
who,[hu:],谁
delicious,[di'liʃəs],美味的
fruit,[fru:t],水果
talk,[tɔ:k],说
sing,[siŋ],唱
shorts,[ʃɔ:ts],短裤
shirt,[ʃə:t],衬衫
nice,[nais],好的
thanks,[θæŋks],谢谢
he,[hi:],他
his,[hiz],他的
please,[pli:z],请
library,['laibrəri],图书馆
computer room,[kəm'pju:tə][ru:m],计算机教室
washroom,['wɔʃrum],洗手间
clinic,['klinik],诊所
office,['ɔfis],办公室
music room,['mju:zik][ru:m],音乐教室
first,[fə:st],第一
second,['sekənd],第二
third,[θə:d],第三
floor,[flɔ:],楼层
gym,[dʒim],体育馆；健身房
art room,[ɑ:t][ru:m],美术教室
science room,['saiəns][ru:m],科学教室
between,[bi'twi:n],在……之间
Chinese,[tʃai'ni:z],汉语
English,['iŋgliʃ],英语
hard,[hɑ:d],难的
easy,['i:zi],容易的
fun,[fʌn],有趣的
boring,['bɔ:riŋ],乏味的
interesting,['intristiŋ],有趣的
favourite,['feivərit],喜爱的
why,[(h)wai],为什么
after school,['ɑ:ftə][sku:l],放学后
activity,[æk'tiviti],活动
club time,[klʌb][taim],课外活动时间
play the drum,[plei][ðə][drʌm],敲鼓
sing songs,[siŋ][sɔŋz],唱歌
draw pictures,[drɔ:]['piktʃəz],画画
play chess,[plei][tʃes],下棋
do art projects,[du:][ɑ:t]['prɔdʒekts],做手工
